SMILES,He,H2,N2,O2,CO2,CH4,URL,
*c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,,77.8,1.5,8.08,39,0.71,https://doi.org/10.1016/j.cej.2021.130845,
*c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,,107,2.57,12.7,62,1.31,https://doi.org/10.1016/j.cej.2021.130845,
*c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,,157,4.48,21.3,115,2.51,https://doi.org/10.1016/j.cej.2021.130845,
*c1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,,34,0.34,2.2,8.4,0.13,https://doi.org/10.1016/j.cej.2021.130845,
*c1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,,47.1,0.54,3.5,13.3,0.21,https://doi.org/10.1016/j.cej.2021.130845,
*c1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,,51,0.62,4,15.8,0.25,https://doi.org/10.1016/j.cej.2021.130845,
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,46,0.82,4.5,22,0.5,https://doi.org/10.1016/j.cej.2021.130845,
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,48.3,0.9,4.9,23.5,0.5,https://doi.org/10.1016/j.cej.2021.130845,
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,67.9,1.61,7.8,38.7,0.94,https://doi.org/10.1016/j.cej.2021.130845,
*c1ccc2c(c1)[C@@H]1c3ccccc3[C@@H]2c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc21,,192,4.69,25,119,3.09,https://doi.org/10.1016/j.cej.2021.130845,
