SMILES,CO2,CH4,N2,alpha_CO2_CH4,k_CO2_CH4_2019,k_CO2_CH4_2008,alpha_CO2_N2,k_CO2_N2_2019,k_CO2_N2_2008,ROMol,calc_SA_score
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3ccc(C(F)(F)F)cc3cc21)Oc1c(C#N)c(*)c(*)c(CN)c1O4,4.28553346,3.04180631,2.97957533,1.24372715,3.02865183,2.86965854,1.30595813,2.56290509,2.79003837,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4E6D0>,6.23335995
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(CN)c1O4,3.96180399,2.6078205,2.54141495,1.35398348,3.00407485,2.85709192,1.42038904,2.58238615,2.79236176,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4E350>,6.15365279
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C(F)(F)F)cc(C(F)(F)F)c3cc21)Oc1c(C#N)c(*)c(*)c(CN)c1O4,4.35788752,3.17336308,3.10995147,1.18452444,2.9995846,2.83790697,1.24793606,2.52610447,2.75707251,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4E270>,6.34669684
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C)c(C)cc3cc21)Oc1c(C#N)c(*)c(*)c(CN)c1O4,4.20563051,2.98768353,2.86444503,1.21794699,2.9695921,2.8135632,1.34118548,2.57469691,2.79759533,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4E2E0>,6.25061267
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc5c(C#N)c(*)c(*)c(CN)c5O4,4.39468868,3.29773393,3.13698609,1.09695475,2.92734259,2.76429964,1.25770259,2.54666478,2.77958328,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4E890>,6.39334203
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc5c(C#N)c(*)c(*)c(C#N)c5O4,4.38039394,3.28462425,3.12579336,1.09576968,2.92020376,2.75769114,1.25460058,2.53937012,2.771531,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4E200>,6.30448868
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C(F)(F)F)cc(C(F)(F)F)c3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1S4,3.99316914,2.8117862,2.76252395,1.18138294,2.84453788,2.69639131,1.23064519,2.4018417,2.61347966,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4E0B0>,6.41054223
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1S4,3.53491071,2.18500067,2.13560856,1.34991004,2.82220035,2.69105516,1.39930215,2.43609146,2.62344173,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4E190>,6.22676607
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C)c(C)cc3cc21)Oc1c(C#N)c(*)c(*)c(CN)c1S4,3.76023821,2.52902565,2.43548954,1.23121256,2.79735178,2.65784694,1.32474867,2.42762654,2.62691916,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4E120>,6.32580485
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc5cc1c(cc5O4)C(=O)N(c4c(C)cc(-c5cc(C)c(N2C(=O)c3cc(*)c(*)cc3C2=O)c2ccccc52)c2ccccc42)C1=O,3.7241064,2.48347688,2.34942167,1.24062952,2.79171984,2.65355549,1.37468473,2.46696514,2.66434278,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4DCF0>,6.71359223
*Oc1cc2c(cc1O*)C1c3cc4c(cc3C2c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc5cc1c(cc5O4)C(=O)N(c4c(C)cc(-c5cc(C)c(N2C(=O)c3cc(*)c(*)cc3C2=O)c2ccccc52)c2ccccc42)C1=O,4.13561008,3.06770975,2.84471171,1.06790033,2.79038193,2.63695079,1.29089837,2.50387281,2.72306014,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4DE40>,6.57233453
*Oc1cc2c(cc1O*)C1(C(C)C)c3cc4c(cc3C2(C(C)C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc5c(C#N)c(*)c(*)c(C#N)c5O4,4.25565942,3.24639868,3.05062521,1.00926074,2.78174289,2.62385792,1.20503421,2.45321911,2.67876906,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4DEB0>,6.43408965
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)CCC5(C)c5cc4c(cc53)C(=O)N(*)C4=O)c4ccccc24)c4ccccc14,3.75486473,2.55706489,2.45742243,1.19779984,2.761701,2.62239552,1.2974423,2.39874413,2.59775196,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4D5F0>,5.33026665
*Oc1cc2c(cc1O*)C1(C(C)C)c3ccccc3C2(C(C)C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(CN)c1O3,3.7955871,2.62439892,2.49282044,1.17118818,2.75205021,2.61123393,1.30276666,2.41601236,2.61717848,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4DF90>,6.31087179
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc5c(C#N)c(*)c(*)c(C#N)c5S4,3.96215632,2.86507015,2.72040407,1.09708617,2.74732428,2.60032828,1.24175225,2.40385269,2.61384698,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4D430>,6.45630068
*Oc1cc2c(cc1O*)C1(C(C)C)c3cc4c(cc3C2(C(C)C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc5cc1c(cc5O4)C(=O)N(c4c(C)cc(-c5cc(C)c(N2C(=O)c3cc(*)c(*)cc3C2=O)c2ccccc52)c2ccccc42)C1,3.57004545,2.32292602,2.17340185,1.24711943,2.73404337,2.60159468,1.3966436,2.44373793,2.63295034,<rdkit.Chem.rdchem.Mol object at 0x000002CD07B4DC80>,6.89973498
